sleeve,ticker,name,weight,thesis
Quantum Computing,QTUP,Defiance Pure Quantum ETF,0.18970,Companies driving quantum and sized to survive a zero.
Digital Assets,BITW,Bitwise 10 Crypto Index ETF,0.202675,The largest chains held on a cyclical view.
Aerospace & Robotics,ELOL,Leverage Shares 100% TSLA & 100% SPCX Daily ETF,0.21050,Tesla and SpaceX at 200% notional.
Optics & Photonics,LAZR,Tema Photonics & Optical ETF,0.47046,Light replacing copper as data outgrows electrical interconnects.
Unallocated Cash,USD,Undeployed,-0.073335,Buffer between allowed and deployed capital.
